start,problem_size,bound,optimal_cost,cost,states generated,algorithm
"(8, 11, 9, 12, 2, 7, 1, 10, 4, 3, 6, 5)",12,0,11,11,14845,IDA*
"(4, 6, 9, 3, 10, 7, 1, 5, 11, 8, 2, 12)",12,0,12,12,658,IDA*
"(3, 6, 10, 8, 5, 7, 1, 11, 12, 9, 4, 2)",12,0,11,11,6911,IDA*
"(12, 6, 2, 10, 7, 4, 11, 3, 5, 9, 1, 8)",12,0,12,12,12746,IDA*
"(6, 2, 5, 1, 7, 3, 12, 9, 4, 10, 8, 11)",12,0,12,12,1685,IDA*
"(2, 11, 3, 10, 7, 12, 4, 8, 6, 1, 9, 5)",12,0,12,12,1721,IDA*
"(10, 5, 3, 9, 8, 1, 11, 7, 4, 6, 2, 12)",12,0,11,11,1159,IDA*
"(12, 8, 10, 2, 9, 7, 6, 3, 1, 4, 5, 11)",12,0,10,10,4573,IDA*
"(2, 10, 7, 12, 3, 8, 1, 5, 6, 9, 11, 4)",12,0,11,11,3052,IDA*
"(10, 7, 9, 8, 12, 11, 6, 2, 3, 1, 4, 5)",12,0,9,9,3471,IDA*
"(7, 5, 11, 1, 10, 3, 12, 2, 4, 6, 9, 8)",12,0,12,12,26256,IDA*
"(6, 3, 2, 5, 4, 8, 1, 7, 12, 11, 9, 10)",12,0,9,9,3471,IDA*
"(1, 2, 9, 4, 12, 5, 10, 3, 7, 6, 11, 8)",12,0,11,11,20658,IDA*
"(5, 6, 3, 9, 12, 7, 10, 1, 8, 2, 4, 11)",12,0,11,11,3949,IDA*
"(1, 5, 10, 3, 2, 12, 6, 8, 11, 4, 7, 9)",12,0,12,12,62247,IDA*
"(12, 1, 4, 2, 6, 10, 11, 9, 7, 8, 3, 5)",12,0,11,11,25637,IDA*
"(2, 4, 8, 10, 12, 7, 6, 1, 3, 5, 11, 9)",12,0,11,11,6601,IDA*
"(2, 6, 11, 12, 7, 1, 8, 3, 9, 4, 10, 5)",12,0,12,12,10215,IDA*
"(9, 1, 3, 4, 10, 11, 8, 7, 5, 2, 6, 12)",12,0,8,8,143,IDA*
"(5, 12, 3, 1, 10, 6, 11, 9, 7, 2, 8, 4)",12,0,13,13,46319,IDA*
"(4, 9, 1, 2, 5, 12, 8, 11, 7, 3, 10, 6)",12,0,12,12,14346,IDA*
"(2, 6, 10, 7, 9, 3, 5, 8, 11, 1, 12, 4)",12,0,12,12,3943,IDA*
"(5, 6, 12, 7, 1, 11, 2, 9, 4, 10, 3, 8)",12,0,12,12,23177,IDA*
"(3, 2, 7, 12, 1, 6, 5, 4, 11, 8, 10, 9)",12,0,10,10,12146,IDA*
"(7, 3, 9, 1, 11, 4, 6, 5, 2, 10, 12, 8)",12,0,12,12,11065,IDA*
"(10, 8, 12, 1, 9, 6, 11, 2, 3, 7, 5, 4)",12,0,11,11,10658,IDA*
"(5, 1, 6, 12, 4, 10, 3, 8, 7, 11, 2, 9)",12,0,12,12,28612,IDA*
"(5, 10, 2, 7, 11, 1, 12, 4, 9, 3, 8, 6)",12,0,12,12,9636,IDA*
"(4, 12, 2, 10, 8, 9, 6, 11, 3, 1, 7, 5)",12,0,12,12,50725,IDA*
"(6, 2, 4, 9, 10, 11, 5, 12, 7, 1, 8, 3)",12,0,10,10,5013,IDA*
"(6, 9, 8, 11, 1, 3, 2, 10, 4, 7, 12, 5)",12,0,11,11,19880,IDA*
"(12, 9, 7, 2, 10, 4, 11, 8, 5, 3, 6, 1)",12,0,13,13,33687,IDA*
"(9, 4, 7, 12, 6, 8, 5, 2, 10, 3, 1, 11)",12,0,12,12,2927,IDA*
"(6, 1, 2, 10, 8, 12, 11, 4, 5, 9, 3, 7)",12,0,10,10,11915,IDA*
"(5, 8, 10, 4, 11, 7, 9, 2, 6, 12, 1, 3)",12,0,12,12,4584,IDA*
"(4, 7, 8, 5, 2, 1, 12, 11, 6, 9, 10, 3)",12,0,9,9,3604,IDA*
"(2, 4, 3, 8, 9, 5, 6, 7, 12, 10, 11, 1)",12,0,8,8,2637,IDA*
"(11, 2, 8, 1, 9, 4, 3, 5, 7, 12, 6, 10)",12,0,12,12,31221,IDA*
"(6, 10, 5, 2, 8, 1, 7, 3, 9, 12, 11, 4)",12,0,11,11,3764,IDA*
"(6, 8, 10, 12, 9, 4, 3, 1, 11, 5, 7, 2)",12,0,11,11,2480,IDA*
"(5, 12, 1, 6, 9, 8, 2, 11, 4, 10, 3, 7)",12,0,11,11,1798,IDA*
"(9, 1, 4, 6, 8, 12, 7, 2, 11, 5, 10, 3)",12,0,13,13,63865,IDA*
"(9, 10, 7, 4, 5, 2, 8, 12, 1, 6, 11, 3)",12,0,11,11,6132,IDA*
"(1, 7, 5, 2, 11, 6, 8, 12, 3, 10, 4, 9)",12,0,13,13,52670,IDA*
"(12, 10, 5, 6, 3, 8, 1, 11, 2, 7, 4, 9)",12,0,12,12,11336,IDA*
"(2, 11, 6, 3, 1, 8, 7, 9, 5, 4, 12, 10)",12,0,12,12,68135,IDA*
"(6, 11, 3, 7, 12, 4, 2, 5, 10, 8, 9, 1)",12,0,11,11,7094,IDA*
"(1, 9, 6, 8, 3, 7, 10, 12, 5, 11, 2, 4)",12,0,12,12,14571,IDA*
"(8, 4, 5, 10, 1, 2, 9, 11, 12, 7, 6, 3)",12,0,9,9,6515,IDA*
"(8, 4, 5, 11, 10, 3, 12, 1, 6, 9, 7, 2)",12,0,10,10,1886,IDA*
"(11, 3, 4, 8, 9, 12, 6, 2, 7, 1, 5, 10)",12,0,11,11,17321,IDA*
"(3, 12, 6, 11, 7, 10, 9, 5, 4, 1, 8, 2)",12,0,11,11,6719,IDA*
"(12, 6, 10, 3, 8, 2, 7, 1, 5, 9, 4, 11)",12,0,12,12,15467,IDA*
"(10, 1, 2, 9, 11, 8, 12, 4, 6, 7, 3, 5)",12,0,11,11,16687,IDA*
"(12, 2, 11, 1, 5, 7, 9, 4, 10, 8, 6, 3)",12,0,12,12,12168,IDA*
"(7, 10, 8, 6, 4, 12, 9, 11, 3, 1, 2, 5)",12,0,12,12,25629,IDA*
"(5, 1, 11, 4, 9, 3, 12, 6, 10, 2, 8, 7)",12,0,11,11,2165,IDA*
"(12, 11, 7, 9, 4, 10, 8, 2, 3, 5, 6, 1)",12,0,10,10,12413,IDA*
