start,problem_size,bound,optimal_cost,cost,states generated,algorithm,pred_KRE,pred_CDP
"(8, 7, 5, 4, 9, 2, 1, 10, 6, 3)",10,0,7,7,333,IDA*,52.407567239858906,467.49453249130755
"(8, 6, 3, 2, 5, 1, 4, 7, 9, 10)",10,0,7,7,114,IDA*,52.407567239858906,93.28313746604768
"(6, 1, 5, 4, 3, 9, 7, 2, 8, 10)",10,0,7,7,108,IDA*,52.407567239858906,93.28313746604768
"(3, 7, 9, 10, 2, 4, 5, 6, 8, 1)",10,0,7,7,800,IDA*,52.407567239858906,467.49453249130755
"(7, 8, 6, 1, 5, 3, 2, 9, 4, 10)",10,0,7,7,34,IDA*,52.407567239858906,93.28313746604768
"(4, 1, 5, 9, 8, 6, 3, 7, 2, 10)",10,0,8,8,46,IDA*,472.5353237985008,127.98605642342187
"(10, 5, 3, 2, 4, 6, 9, 1, 8, 7)",10,0,8,8,879,IDA*,472.5353237985008,733.5948040267133
"(7, 1, 4, 6, 3, 2, 9, 10, 8, 5)",10,0,8,8,825,IDA*,472.5353237985008,733.5948040267133
"(8, 9, 10, 7, 2, 4, 6, 3, 5, 1)",10,0,8,8,766,IDA*,472.5353237985008,733.5948040267133
"(3, 1, 7, 10, 8, 9, 6, 5, 4, 2)",10,0,8,8,737,IDA*,472.5353237985008,4243.465021388844
"(2, 6, 9, 10, 3, 7, 1, 4, 5, 8)",10,0,8,8,917,IDA*,472.5353237985008,733.5948040267133
"(7, 6, 10, 9, 5, 1, 2, 4, 8, 3)",10,0,8,8,794,IDA*,472.5353237985008,4243.465021388844
"(7, 8, 10, 2, 5, 6, 9, 1, 3, 4)",10,0,8,8,807,IDA*,472.5353237985008,4243.465021388844
"(10, 5, 4, 2, 3, 6, 8, 7, 9, 1)",10,0,8,8,1771,IDA*,472.5353237985008,4243.465021388844
"(2, 1, 5, 8, 4, 6, 3, 10, 9, 7)",10,0,8,8,846,IDA*,472.5353237985008,733.5948040267133
"(9, 10, 3, 8, 1, 6, 2, 4, 5, 7)",10,0,8,8,499,IDA*,472.5353237985008,733.5948040267133
"(5, 8, 6, 7, 4, 9, 3, 10, 2, 1)",10,0,8,8,754,IDA*,472.5353237985008,733.5948040267133
"(4, 3, 1, 10, 5, 9, 8, 6, 2, 7)",10,0,8,8,1013,IDA*,472.5353237985008,733.5948040267133
"(1, 4, 9, 3, 10, 5, 6, 7, 8, 2)",10,0,8,8,1462,IDA*,472.5353237985008,4243.465021388844
"(5, 3, 9, 4, 2, 6, 7, 8, 10, 1)",10,0,8,8,781,IDA*,472.5353237985008,733.5948040267133
"(6, 2, 1, 7, 5, 10, 4, 3, 8, 9)",10,0,8,8,2548,IDA*,472.5353237985008,4243.465021388844
"(5, 2, 3, 1, 7, 10, 4, 8, 9, 6)",10,0,8,8,528,IDA*,472.5353237985008,733.5948040267133
"(8, 9, 10, 5, 6, 4, 1, 3, 7, 2)",10,0,8,8,876,IDA*,472.5353237985008,4243.465021388844
"(8, 6, 1, 5, 9, 10, 7, 2, 4, 3)",10,0,8,8,292,IDA*,472.5353237985008,733.5948040267133
"(6, 7, 10, 2, 1, 3, 8, 5, 4, 9)",10,0,8,8,2690,IDA*,472.5353237985008,4243.465021388844
"(9, 10, 1, 6, 7, 2, 8, 4, 5, 3)",10,0,8,8,770,IDA*,472.5353237985008,4243.465021388844
"(1, 8, 9, 3, 2, 10, 7, 4, 6, 5)",10,0,8,8,1325,IDA*,472.5353237985008,4243.465021388844
"(5, 3, 6, 4, 7, 9, 10, 2, 1, 8)",10,0,8,8,194,IDA*,472.5353237985008,733.5948040267133
"(1, 5, 8, 9, 6, 7, 3, 4, 2, 10)",10,0,8,8,466,IDA*,472.5353237985008,4243.465021388844
"(3, 4, 6, 2, 9, 1, 7, 8, 10, 5)",10,0,8,8,704,IDA*,472.5353237985008,733.5948040267133
"(1, 2, 6, 5, 7, 3, 4, 8, 10, 9)",10,0,8,8,8510,IDA*,472.5353237985008,23085.187511617103
"(8, 4, 6, 5, 3, 10, 9, 7, 2, 1)",10,0,8,8,1502,IDA*,472.5353237985008,4243.465021388844
"(1, 4, 2, 9, 8, 7, 3, 10, 6, 5)",10,0,8,8,750,IDA*,472.5353237985008,4243.465021388844
"(3, 1, 10, 4, 2, 6, 5, 9, 8, 7)",10,0,8,8,2676,IDA*,472.5353237985008,4243.465021388844
"(3, 8, 1, 4, 9, 10, 5, 6, 2, 7)",10,0,8,8,410,IDA*,472.5353237985008,733.5948040267133
"(4, 1, 6, 9, 7, 8, 3, 2, 10, 5)",10,0,8,8,341,IDA*,472.5353237985008,733.5948040267133
"(7, 9, 5, 6, 4, 2, 3, 8, 1, 10)",10,0,8,8,125,IDA*,472.5353237985008,733.5948040267133
"(3, 10, 8, 7, 1, 5, 4, 6, 2, 9)",10,0,9,9,4227,IDA*,4253.817914186508,6648.647853793944
"(9, 4, 5, 2, 6, 10, 7, 3, 1, 8)",10,0,9,9,871,IDA*,4253.817914186508,1101.510740258901
"(2, 4, 10, 3, 9, 1, 8, 5, 7, 6)",10,0,9,9,1556,IDA*,4253.817914186508,1101.510740258901
"(10, 1, 5, 9, 7, 8, 3, 4, 2, 6)",10,0,9,9,4369,IDA*,4253.817914186508,6648.647853793944
"(9, 6, 5, 2, 8, 3, 1, 4, 10, 7)",10,0,9,9,654,IDA*,4253.817914186508,1101.510740258901
"(8, 3, 4, 7, 10, 9, 2, 6, 1, 5)",10,0,9,9,2892,IDA*,4253.817914186508,6648.647853793944
"(3, 7, 8, 4, 9, 10, 1, 6, 2, 5)",10,0,9,9,2746,IDA*,4253.817914186508,6648.647853793944
"(9, 2, 5, 7, 1, 3, 6, 8, 4, 10)",10,0,9,9,165,IDA*,4253.817914186508,170.15474176096083
"(5, 2, 7, 10, 8, 6, 1, 4, 3, 9)",10,0,9,9,1858,IDA*,4253.817914186508,1101.510740258901
"(8, 9, 3, 1, 4, 7, 5, 2, 6, 10)",10,0,9,9,149,IDA*,4253.817914186508,1101.510740258901
"(8, 2, 10, 5, 3, 4, 6, 9, 7, 1)",10,0,9,9,902,IDA*,4253.817914186508,1101.510740258901
"(8, 6, 10, 4, 9, 5, 7, 3, 1, 2)",10,0,9,9,2593,IDA*,4253.817914186508,1101.510740258901
"(4, 1, 5, 3, 9, 6, 10, 8, 7, 2)",10,0,9,9,652,IDA*,4253.817914186508,1101.510740258901
"(9, 4, 1, 6, 8, 7, 5, 10, 2, 3)",10,0,9,9,1540,IDA*,4253.817914186508,6648.647853793944
"(9, 3, 1, 2, 4, 7, 6, 10, 8, 5)",10,0,9,9,3896,IDA*,4253.817914186508,6648.647853793944
"(3, 8, 4, 6, 7, 2, 5, 1, 10, 9)",10,0,9,9,7731,IDA*,4253.817914186508,6648.647853793944
"(2, 6, 4, 3, 8, 10, 1, 7, 9, 5)",10,0,9,9,1018,IDA*,4253.817914186508,1101.510740258901
"(5, 6, 8, 1, 4, 2, 10, 7, 3, 9)",10,0,9,9,869,IDA*,4253.817914186508,1101.510740258901
"(9, 2, 1, 10, 5, 6, 3, 8, 4, 7)",10,0,9,9,1653,IDA*,4253.817914186508,6648.647853793944
"(8, 3, 6, 4, 1, 2, 5, 10, 7, 9)",10,0,9,9,1577,IDA*,4253.817914186508,1101.510740258901
"(1, 7, 5, 10, 2, 6, 3, 8, 9, 4)",10,0,9,9,1005,IDA*,4253.817914186508,1101.510740258901
