puzzle index,tile size,bound,cost,states generated,Algorithm
0,8,0,24,822,IDA*
0,8,70,70,212,DFBnB
0,8,60,60,806,DFBnB
0,8,50,50,103,DFBnB
0,8,40,40,981,DFBnB
0,8,35,35,731,DFBnB
1,8,0,11,29,IDA*
1,8,70,70,1667,DFBnB
1,8,60,60,191,DFBnB
1,8,50,50,82,DFBnB
1,8,40,40,47,DFBnB
1,8,35,35,42,DFBnB
2,8,0,25,1144,IDA*
2,8,70,70,485,DFBnB
2,8,60,60,133,DFBnB
2,8,50,50,453,DFBnB
2,8,40,40,245,DFBnB
2,8,35,35,175,DFBnB
3,8,0,23,1099,IDA*
3,8,70,70,220,DFBnB
3,8,60,60,323,DFBnB
3,8,50,50,248,DFBnB
3,8,40,40,481,DFBnB
3,8,35,35,304,DFBnB
4,8,0,28,2155,IDA*
4,8,70,70,648,DFBnB
4,8,60,60,69,DFBnB
4,8,50,50,567,DFBnB
4,8,40,40,163,DFBnB
4,8,35,35,430,DFBnB
5,8,0,20,207,IDA*
5,8,70,70,591,DFBnB
5,8,60,60,306,DFBnB
5,8,50,50,165,DFBnB
5,8,40,40,1035,DFBnB
5,8,35,35,1817,DFBnB
6,8,0,25,1564,IDA*
6,8,70,70,284,DFBnB
6,8,60,60,202,DFBnB
6,8,50,50,842,DFBnB
6,8,40,40,613,DFBnB
6,8,35,35,315,DFBnB
7,8,0,22,593,IDA*
7,8,70,70,721,DFBnB
7,8,60,60,559,DFBnB
7,8,50,50,284,DFBnB
7,8,40,40,736,DFBnB
7,8,35,35,632,DFBnB
8,8,0,21,135,IDA*
8,8,70,70,96,DFBnB
8,8,60,60,371,DFBnB
8,8,50,50,70,DFBnB
8,8,40,40,123,DFBnB
8,8,35,35,967,DFBnB
9,8,0,27,907,IDA*
9,8,70,70,545,DFBnB
9,8,60,60,138,DFBnB
9,8,50,50,495,DFBnB
9,8,40,40,47,DFBnB
9,8,35,35,47,DFBnB
10,8,0,22,1452,IDA*
10,8,70,70,452,DFBnB
10,8,60,60,505,DFBnB
10,8,50,50,2585,DFBnB
10,8,40,40,1433,DFBnB
10,8,35,35,355,DFBnB
11,8,0,24,398,IDA*
11,8,70,70,2703,DFBnB
11,8,60,60,1708,DFBnB
11,8,50,50,781,DFBnB
11,8,40,40,1543,DFBnB
11,8,35,35,494,DFBnB
12,8,0,22,638,IDA*
12,8,70,70,678,DFBnB
12,8,60,60,551,DFBnB
12,8,50,50,717,DFBnB
12,8,40,40,1047,DFBnB
12,8,35,35,1565,DFBnB
13,8,0,16,30,IDA*
13,8,70,70,172,DFBnB
13,8,60,60,80,DFBnB
13,8,50,50,127,DFBnB
13,8,40,40,758,DFBnB
13,8,35,35,1910,DFBnB
14,8,0,26,1617,IDA*
14,8,70,70,97,DFBnB
14,8,60,60,422,DFBnB
14,8,50,50,291,DFBnB
14,8,40,40,222,DFBnB
14,8,35,35,52,DFBnB
15,8,0,24,350,IDA*
15,8,70,70,489,DFBnB
15,8,60,60,1013,DFBnB
15,8,50,50,636,DFBnB
15,8,40,40,4463,DFBnB
15,8,35,35,428,DFBnB
16,8,0,23,476,IDA*
16,8,70,70,205,DFBnB
16,8,60,60,4559,DFBnB
16,8,50,50,208,DFBnB
16,8,40,40,275,DFBnB
16,8,35,35,225,DFBnB
17,8,0,17,205,IDA*
