start,length,bound,cost,expended,algorithm
"(2, 1, 4, 7, 5, 8, 6, 3)",8,0,7,394,IDA*
"(2, 1, 4, 7, 5, 8, 6, 3)",8,70,70,1170,DFBnB
"(2, 1, 4, 7, 5, 8, 6, 3)",8,60,60,1088,DFBnB
"(2, 1, 4, 7, 5, 8, 6, 3)",8,50,50,91,DFBnB
"(2, 1, 4, 7, 5, 8, 6, 3)",8,40,40,789,DFBnB
"(2, 1, 4, 7, 5, 8, 6, 3)",8,30,30,371,DFBnB
"(6, 7, 4, 1, 3, 2, 8, 5)",8,0,6,216,IDA*
"(6, 7, 4, 1, 3, 2, 8, 5)",8,70,70,1740,DFBnB
"(6, 7, 4, 1, 3, 2, 8, 5)",8,60,60,1392,DFBnB
"(6, 7, 4, 1, 3, 2, 8, 5)",8,50,50,160,DFBnB
"(6, 7, 4, 1, 3, 2, 8, 5)",8,40,40,542,DFBnB
"(6, 7, 4, 1, 3, 2, 8, 5)",8,30,30,356,DFBnB
"(1, 8, 4, 5, 6, 2, 7, 3)",8,0,7,662,IDA*
"(1, 8, 4, 5, 6, 2, 7, 3)",8,70,70,370,DFBnB
"(1, 8, 4, 5, 6, 2, 7, 3)",8,60,60,847,DFBnB
"(1, 8, 4, 5, 6, 2, 7, 3)",8,50,50,483,DFBnB
"(1, 8, 4, 5, 6, 2, 7, 3)",8,40,40,390,DFBnB
"(1, 8, 4, 5, 6, 2, 7, 3)",8,30,30,684,DFBnB
"(8, 2, 7, 4, 3, 1, 5, 6)",8,0,6,90,IDA*
"(8, 2, 7, 4, 3, 1, 5, 6)",8,70,70,562,DFBnB
"(8, 2, 7, 4, 3, 1, 5, 6)",8,60,60,172,DFBnB
"(8, 2, 7, 4, 3, 1, 5, 6)",8,50,50,215,DFBnB
"(8, 2, 7, 4, 3, 1, 5, 6)",8,40,40,83,DFBnB
"(8, 2, 7, 4, 3, 1, 5, 6)",8,30,30,726,DFBnB
"(6, 3, 8, 1, 2, 7, 4, 5)",8,0,7,443,IDA*
"(6, 3, 8, 1, 2, 7, 4, 5)",8,70,70,132,DFBnB
"(6, 3, 8, 1, 2, 7, 4, 5)",8,60,60,305,DFBnB
"(6, 3, 8, 1, 2, 7, 4, 5)",8,50,50,188,DFBnB
"(6, 3, 8, 1, 2, 7, 4, 5)",8,40,40,135,DFBnB
"(6, 3, 8, 1, 2, 7, 4, 5)",8,30,30,1209,DFBnB
"(2, 7, 3, 5, 4, 6, 1, 8)",8,0,7,80,IDA*
"(2, 7, 3, 5, 4, 6, 1, 8)",8,70,70,79,DFBnB
"(2, 7, 3, 5, 4, 6, 1, 8)",8,60,60,79,DFBnB
"(2, 7, 3, 5, 4, 6, 1, 8)",8,50,50,75,DFBnB
"(2, 7, 3, 5, 4, 6, 1, 8)",8,40,40,69,DFBnB
"(2, 7, 3, 5, 4, 6, 1, 8)",8,30,30,99,DFBnB
"(8, 1, 2, 6, 3, 7, 4, 5)",8,0,6,337,IDA*
"(8, 1, 2, 6, 3, 7, 4, 5)",8,70,70,303,DFBnB
"(8, 1, 2, 6, 3, 7, 4, 5)",8,60,60,197,DFBnB
"(8, 1, 2, 6, 3, 7, 4, 5)",8,50,50,494,DFBnB
"(8, 1, 2, 6, 3, 7, 4, 5)",8,40,40,175,DFBnB
"(8, 1, 2, 6, 3, 7, 4, 5)",8,30,30,309,DFBnB
"(7, 1, 2, 4, 8, 6, 5, 3)",8,0,7,561,IDA*
"(7, 1, 2, 4, 8, 6, 5, 3)",8,70,70,462,DFBnB
"(7, 1, 2, 4, 8, 6, 5, 3)",8,60,60,316,DFBnB
"(7, 1, 2, 4, 8, 6, 5, 3)",8,50,50,641,DFBnB
"(7, 1, 2, 4, 8, 6, 5, 3)",8,40,40,324,DFBnB
"(7, 1, 2, 4, 8, 6, 5, 3)",8,30,30,462,DFBnB
"(7, 4, 5, 3, 6, 1, 8, 2)",8,0,7,437,IDA*
"(7, 4, 5, 3, 6, 1, 8, 2)",8,70,70,129,DFBnB
"(7, 4, 5, 3, 6, 1, 8, 2)",8,60,60,313,DFBnB
"(7, 4, 5, 3, 6, 1, 8, 2)",8,50,50,727,DFBnB
"(7, 4, 5, 3, 6, 1, 8, 2)",8,40,40,101,DFBnB
"(7, 4, 5, 3, 6, 1, 8, 2)",8,30,30,648,DFBnB
"(1, 5, 3, 8, 4, 6, 2, 7)",8,0,8,917,IDA*
"(1, 5, 3, 8, 4, 6, 2, 7)",8,70,70,297,DFBnB
"(1, 5, 3, 8, 4, 6, 2, 7)",8,60,60,582,DFBnB
"(1, 5, 3, 8, 4, 6, 2, 7)",8,50,50,318,DFBnB
"(1, 5, 3, 8, 4, 6, 2, 7)",8,40,40,189,DFBnB
"(1, 5, 3, 8, 4, 6, 2, 7)",8,30,30,594,DFBnB
"(4, 6, 2, 5, 1, 3, 7, 8)",8,0,7,99,IDA*
"(4, 6, 2, 5, 1, 3, 7, 8)",8,70,70,90,DFBnB
"(4, 6, 2, 5, 1, 3, 7, 8)",8,60,60,66,DFBnB
